"","Date","Time","I","tempC","DO.meas","atmo.pressure","salinity"
"178","2018-05-08","09:00:00",1084.44444444444,24.5,6.1,1.00493583415597,28.5
"179","2018-05-08","10:00:00",1441.44444444444,24.5,6.2,1.00493583415597,30.3
"180","2018-05-08","11:00:00",1216,24.6,6,1.00493583415597,30
"181","2018-05-08","12:00:00",2007.11111111111,24.7,7,1.00493583415597,29.3
"182","2018-05-08","13:00:00",1822.77777777778,24.9,7.3,1.00493583415597,27.7
"183","2018-05-08","14:00:00",1169.88888888889,24.8,7.4,1.00493583415597,27.6
"184","2018-05-08","15:00:00",1723.11111111111,25,7.9,1.00394866732478,26
"185","2018-05-08","16:00:00",1374.77777777778,25.1,8,1.00394866732478,26.2
"186","2018-05-08","17:00:00",1029.33333333333,25.2,8,1.00394866732478,26
"187","2018-05-08","18:00:00",437.666666666667,25.4,8,1.00394866732478,25.2
"188","2018-05-08","19:00:00",99.7777777777778,25.9,7.5,1.00394866732478,23.3
"189","2018-05-08","20:00:00",0,25.6,6.5,1.00394866732478,24.2
"190","2018-05-08","21:00:00",0,25.5,6.2,1.00493583415597,25
"191","2018-05-08","22:00:00",0,25.3,6.5,1.00493583415597,25.8
"192","2018-05-08","23:00:00",0,25.3,6.3,1.00493583415597,26.1
"193","2018-05-09","00:00:00",0,25.5,6.5,1.00493583415597,24.2
"194","2018-05-09","01:00:00",0,25.6,6,1.00493583415597,24.2
"195","2018-05-09","02:00:00",0,25.6,6.2,1.00394866732478,23.2
"196","2018-05-09","03:00:00",0,25.9,7.1,1.00394866732478,21.5
"197","2018-05-09","04:00:00",0,26,6.7,1.00394866732478,18.1
"198","2018-05-09","05:00:00",0,25.7,6.9,1.00493583415597,21.7
"199","2018-05-09","06:00:00",13,25.7,6.2,1.00592300098717,22.2
"200","2018-05-09","07:00:00",272.444444444444,25.6,5.8,1.00592300098717,22.1
"201","2018-05-09","08:00:00",667.222222222222,25.6,5.4,1.00691016781836,23
"202","2018-05-09","09:00:00",338.888888888889,25.5,5.4,1.00691016781836,23.4
"203","2018-05-09","10:00:00",1435.22222222222,25.5,5.4,1.00691016781836,23.9
"204","2018-05-09","11:00:00",635.444444444444,25.6,6,1.00691016781836,24.3
"205","2018-05-09","12:00:00",1944.77777777778,25.8,6.1,1.00691016781836,23.8
"206","2018-05-09","13:00:00",2016.44444444444,26,6.8,1.00592300098717,24.1
"207","2018-05-09","14:00:00",1947.11111111111,26,6.7,1.00592300098717,24.8
"208","2018-05-09","15:00:00",1758.77777777778,26.1,7,1.00493583415597,24.6
"209","2018-05-09","16:00:00",1426.88888888889,26.1,7.4,1.00493583415597,24.5
"210","2018-05-09","17:00:00",1018.11111111111,26.3,8.1,1.00493583415597,23.5
"211","2018-05-09","18:00:00",527.888888888889,26.4,7.7,1.00493583415597,23.1
"212","2018-05-09","19:00:00",108.222222222222,26.6,7.7,1.00493583415597,22.2
"213","2018-05-09","20:00:00",0,26.8,8.3,1.00493583415597,20.9
"214","2018-05-09","21:00:00",0,26.6,8,1.00493583415597,21.7
"215","2018-05-09","22:00:00",0,26.7,8.1,1.00592300098717,21.7
"216","2018-05-09","23:00:00",0,26.6,8,1.00592300098717,22
"217","2018-05-10","00:00:00",0,26.6,7.2,1.00592300098717,22.1
"218","2018-05-10","01:00:00",0,26.6,7.5,1.00592300098717,21.9
"219","2018-05-10","02:00:00",0,26.5,7.4,1.00493583415597,21.6
"220","2018-05-10","03:00:00",0,26.5,7.1,1.00493583415597,21.7
"221","2018-05-10","04:00:00",0,26.5,6.6,1.00592300098717,21.7
"222","2018-05-10","05:00:00",0,26.5,6.6,1.00592300098717,20.9
"223","2018-05-10","06:00:00",15.7777777777778,25.9,5.7,1.00691016781836,25.8
"224","2018-05-10","07:00:00",292.666666666667,26,6.4,1.00691016781836,25.5
"225","2018-05-10","08:00:00",573,26,6.9,1.00789733464956,24.5
"226","2018-05-10","09:00:00",663.111111111111,26,6.6,1.00789733464956,24.5
"227","2018-05-10","10:00:00",1349.11111111111,25.9,6.6,1.00789733464956,25.6
